Pair ID,Is Relevant
Q1-C1,1
Q1-C2,0
Q1-C3,0
Q1-C4,1
Q1-C5,0
Q2-C6,1
Q2-C7,0
Q2-C8,0
Q2-C9,1
Q2-C10,0
Q3-C11,1
Q3-C12,0
Q3-C13,0
Q3-C14,1
Q3-C15,0
Q4-C16,1
Q4-C17,0
Q4-C18,0
Q4-C19,1
Q4-C20,0
Q5-C21,1
Q5-C22,0
Q5-C23,0
Q5-C24,1
Q5-C25,0
Q6-C26,1
Q6-C27,0
Q6-C28,0
Q6-C29,1
Q6-C30,0
Q7-C31,1
Q7-C32,0
Q7-C33,1
Q7-C34,1
Q7-C35,0
Q8-C36,1
Q8-C37,1
Q8-C38,0
Q8-C39,1
Q8-C40,0
Q9-C41,1
Q9-C42,0
Q9-C43,0
Q9-C44,1
Q9-C45,0
Q10-C46,1
Q10-C47,0
Q10-C48,0
Q10-C49,1
Q10-C50,0
Q11-C51,1
Q11-C52,0
Q11-C53,0
Q11-C54,1
Q11-C55,1
Q12-C56,1
Q12-C57,0
Q12-C58,0
Q12-C59,1
Q12-C60,0
